LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.
C19171391,YLED0805R,YONGYUTAI,,805,Red 645nm LED Indication - Discrete 1.8V~2.4V 0805,YES,100,0.0079,0.79,,
C42431836,PH2.54-1X3P-H25,JXTCONN,,"Through Hole,P=2.54mm",Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,YES,50,0.0155,0.78,,
C42431808,PH2.54-1X4P-H25,JXTCONN,,"Through Hole,P=2.54mm",Pin Header 4 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,YES,20,0.0211,0.42,,
C7501614,PH2.54-07-04PWD,XUNPU,,"Through Hole,Right Angle,P=2.54mm","Pin Header 1 2.5mm 6mm 3mm 4P -40℃~+105℃ 2.54mm 3A 1x4P Through Hole,Right Angle,P=2.54mm Headers, Male Pins RoHS",YES,20,0.0305,0.61,,
C42431835,PH2.54-1X5P-H25,JXTCONN,,"Through Hole,P=2.54mm",Pin Header 5 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,YES,20,0.0275,0.55,,
C7501584,PH2.54-01-06PZD,XUNPU,,"Through Hole,P=2.54mm",Pin Header 6 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,YES,10,0.0421,0.42,,
C42431837,PH2.54-2X3P-H25,JXTCONN,,"Through Hole,P=2.54mm",Pin Header 6 Position 2.54mm Pitch Dual Row Through Hole -40℃~+105℃,YES,20,0.0317,0.63,,
C60491,RC0402FR-07100KL,YAGEO,,402,100kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0008,0.08,,
C14663,CC0603KRX7R9BB104,YAGEO,,603,100nF ±10% 50V Ceramic Capacitor X7R 0603,YES,100,0.0021,0.21,,
C98220,RC0603FR-0710KL,YAGEO,,603,100mW 10kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0014,0.14,,
C428487,1981568-1,TE Connectivity,,SMD,"USB-Micro B Receptacle Connector 5 Position Surface Mount, Right Angle",YES,5,2.1689,10.84,,
C2907002,FRC0603F1001TS,FOJAN,,603,1kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0012,0.12,,
C105578,RC0603FR-071ML,YAGEO,,603,100mW 1MΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0015,0.15,,
C2907012,FRC0603F20R0TS,FOJAN,,603,20Ω ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0012,0.12,,
C2907011,FRC0603F2002TS,FOJAN,,603,20kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0012,0.12,,
C107000,CC0402JRNPO9BN200,YAGEO,,402,20pF ±5% 50V Ceramic Capacitor NP0 0402,YES,100,0.0012,0.12,,
C86295,CL10A226MP8NUNE,Samsung Electro-Mechanics,,603,22uF ±20% 10V Ceramic Capacitor X5R 0603,YES,10,0.0148,0.15,,
C99782,RC0603FR-074K7L,YAGEO,,603,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0014,0.14,,
C2909366,FRC0402F5100TS,FOJAN,,402,510Ω ±1% 62.5mW 0402 Thick Film Resistor,YES,100,0.0006,0.06,,
C2842269,XC53G2-8.000-F12NJHP,HCI,,SMD5032-2P,Crystal 8MHz ±10ppm 12pF 80Ω SMD5032-2P,YES,5,0.198,0.99,,
C347222,AMS1117-3.3,UMW,,SOT-223,Linear Voltage Regulator IC Positive Fixed 1 Output 1A SOT-223,YES,10,0.0369,0.37,,
C8734,STM32F103C8T6,ST,,LQFP-48(7x7),ARM Cortex-M3 32 Bit 72MHz 37 LQFP-48(7x7) Microcontrollers RoHS,YES,5,1.2686,6.34,,
C41381874,TIP122,HXY MOSFET,,TO-220S,Bipolar (BJT) Transistor NPN 100V 5A 65W Through Hole TO-220S,YES,5,0.2307,1.15,,
C209907,HLK-5M05,HI-LINK,,"DIP,38x23mm","AC/DC-DC DIP,38x23mm AC DC Converters RoHS",YES,5,2.6483,13.24,,
,,,,,,,,,,,
,,,,,,,,TOTAL,38.54,,
,,,,,,,,,,,
,,,,,,,,SHIPPING,33.91,,
,,,,,,,,,,,
,,,,,,,OVERALL TOTAL,,72.45,,
